Unidade Curricular;Área Científica;Departamento
1.º Ano (1º Semestre);;
Análise Matemática;CB;DMAT
Álgebra Linear;CB;DMAT
Física Aplicada;CB;DEE
Programação I;CE;DEI
Sistemas Computacionais;CE;DEI
Introdução à Engenharia Informática;CE;DEI
1.º Ano (2º Semestre);;
Matemática Discreta;CB;DMAT
Estatística;CB;DMAT
Programação II;CE;DEI
Tecnologias de Internet;CE;DEI
Sistemas Operativos;CE;DEI
Inglês;CC;DCL
2.º Ano (3º Semestre);;
Sistemas Gráficos e Interação;EI-TIC;DEI
Algoritmos e Estruturas de Dados I;EI-SI;DEI
Bases de Dados;CE;DEI
Redes de Computadores;CE;DEI
Programação Avançada;EI-SI;DEI
2.º Ano | Sistemas de Informação (4º Semestre);;
Aplicações para a Internet;EI-TIC;DEI
Engenharia de Software II;EI-SI;DEI
Inteligência Artificial;EI-SI;DEI
Sistemas de Bases de Dados;EI-SI;DEI
Segurança da Informação;EI-SI;DEI
2.º Ano | Tecnologias de Informação (4º Semestre);;
Aplicações para a Internet;EI-TIC;DEI
Engenharia de Software II;EI-SI;DEI
Tecnologias de Virtualização;EI-TIC;DEI
Redes de Dados;EI-TIC;DEI
Administração de Sistemas;EI-TIC;DEI
3.º Ano | Sistemas de Informação (5º Semestre);;
Desenvolvimento de Aplicações Distribuídas;EI-TIC;DEI
Integração de Sistemas;EI-SI;DEI
Tópicos Avançados de Engenharia de Software;EI-SI;DEI
Desenvolvimento de Aplicações Empresariais;EI-SI;DEI
Sistemas de Apoio à Decisão;EI-SI;DEI
3.º Ano | Tecnologias de Informação (5º Semestre);;
Desenvolvimento de Aplicações Distribuídas;EI-TIC;DEI
Integração de Sistemas;EI-SI;DEI
Centros de Processamento de Dados;EI-TIC;DEI
Tópicos Avançados de Redes;EI-TIC;DEI
Segurança de Sistemas;EI-TIC;DEI
3.º Ano | Sistemas de Informação (6º Semestre);;
Projeto Informático;EI-SI;DEI
Seminário;CC;DEI
Inovação e Empreendedorismo;CC;DGE
Engenharia do Conhecimento;EI-SI;DEI
Sistemas de Informação Empresariais;EI-SI;DEI
3.º Ano | Tecnologias de Informação (6º Semestre);;
Projeto Informático;EI-SI;DEI
Seminário;CC;DEI
Inovação e Empreendedorismo;CC;DGE
Laboratório de Tecnologias de Informação;EI-TIC;DEI
Engenharia de Sistemas e Serviços;EI-TIC;DEI
